						Generation Report
				Generation 0 						 Generation 1
#  parents   xsite       chromosome 				fitness 		 #   parents   xsite     chromosome 				fitness 
Avg Fit: 0.562, Max Fit: 0.88, Min Fit: 0.16	|	 Avg Fit: 0.628, Max Fit: 0.94, Min Fit: 0.16


						Generation Report
				Generation 1 						 Generation 2
#  parents   xsite       chromosome 				fitness 		 #   parents   xsite     chromosome 				fitness 
0   (1, 6)   14	73 88 84 4 20 63 58 7 16 80 79 84 43 35 4 43 	0.8 	 | 	 0      (25, 17)   4	80 82 6 4 58 43 8 79 50 32 3 62 82 63 42 94 	0.36
1   (1, 6)   14	71 89 79 22 72 27 7 35 14 14 8 35 15 50 99 36 	0.18 	 | 	 1      (25, 17)   4	31 78 37 69 88 49 54 37 91 63 34 45 53 4 17 37 	0.42
2   (8, 11)   12	41 72 48 41 78 2 48 85 22 8 33 29 82 79 83 31 	0.74 	 | 	 2      (21, 15)   6	86 90 20 4 61 76 55 72 12 96 72 24 57 41 94 49 	0.58
3   (8, 11)   12	44 15 98 3 30 1 79 18 80 48 39 92 28 34 41 94 	0.88 	 | 	 3      (21, 15)   6	62 56 91 12 39 21 66 59 53 45 45 100 73 39 24 49 	0.9
4   (5, 18)   0	28 6 56 52 51 6 61 8 89 81 72 64 14 50 1 95 	0.82 	 | 	 4      (26, 21)   0	59 24 91 90 97 7 6 13 0 48 87 56 76 93 52 52 	0.84
5   (5, 18)   0	20 54 73 9 93 13 85 2 27 22 32 8 8 91 64 28 	0.62 	 | 	 5      (26, 21)   0	86 90 20 4 55 76 66 59 53 45 45 100 71 39 24 49 	0.66
6   (25, 16)   2	89 34 99 18 8 63 52 10 51 58 100 69 77 65 34 72 	0.64 	 | 	 6      (26, 18)   6	59 24 91 90 100 7 79 18 80 48 37 65 79 47 12 56 	0.76
7   (25, 16)   2	39 64 60 47 7 87 95 49 95 67 99 71 75 64 82 48 	0.36 	 | 	 7      (26, 18)   6	42 15 98 3 30 1 6 13 0 48 87 56 76 93 52 52 	0.74
8   (11, 17)   8	42 15 98 3 30 1 79 18 13 15 1 36 5 10 61 80 	0.9 	 | 	 8      (17, 7)   0	31 78 37 69 56 43 8 79 50 32 3 62 82 63 41 94 	0.84
9   (11, 17)   8	6 35 22 24 67 36 38 71 80 48 39 88 82 79 83 31 	0.72 	 | 	 9      (17, 7)   0	39 64 60 47 7 87 95 49 95 67 99 71 75 64 82 48 	0.4
10   (20, 16)   10	31 78 37 69 56 43 8 79 50 32 100 69 77 65 34 72 	0.54 	 | 	 10      (23, 4)   0	73 88 84 6 20 63 58 7 16 80 33 29 28 34 41 94 	0.92
11   (20, 16)   10	39 74 99 18 8 63 52 8 51 58 3 62 82 63 4 54 	0.44 	 | 	 11      (23, 4)   0	28 6 56 52 51 6 61 8 89 81 72 64 14 50 1 95 	0.86
12   (5, 23)   0	28 6 56 52 51 6 61 8 89 81 72 64 14 50 1 95 	0.6 	 | 	 12      (14, 1)   0	89 34 60 47 7 87 95 54 95 67 99 71 75 64 82 48 	0.8
13   (5, 23)   0	23 50 27 47 83 84 55 82 6 38 64 9 33 7 54 18 	0.16 	 | 	 13      (14, 1)   0	71 89 79 22 72 27 7 35 14 14 8 35 15 50 99 36 	0.12
14   (25, 21)   0	89 34 60 47 7 87 95 54 95 67 99 71 75 64 82 48 	0.64 	 | 	 14      (26, 4)   8	59 24 91 90 97 7 6 12 89 81 72 64 15 50 1 95 	0.86
15   (25, 21)   0	62 56 91 12 39 21 55 72 22 96 72 24 57 41 94 49 	0.84 	 | 	 15      (26, 4)   8	28 6 56 52 51 6 61 8 0 45 87 56 76 93 52 51 	0.26
16   (8, 20)   14	41 72 48 41 78 2 48 85 22 8 33 29 28 28 4 54 	0.44 	 | 	 16      (23, 4)   0	73 88 84 6 20 63 58 7 16 80 33 29 28 34 41 94 	0.84
17   (8, 20)   14	31 78 37 69 56 43 8 79 50 32 3 62 82 63 41 94 	0.86 	 | 	 17      (23, 4)   0	28 6 56 52 51 6 61 8 89 81 72 64 14 50 1 95 	0.74
18   (11, 2)   10	42 15 98 3 30 1 79 18 80 48 37 65 79 47 19 59 	0.68 	 | 	 18      (0, 23)   4	73 94 84 4 20 63 58 7 16 80 33 29 28 34 41 94 	0.62
19   (11, 2)   10	78 78 74 51 64 9 57 8 7 78 39 92 82 79 83 31 	0.7 	 | 	 19      (0, 23)   4	73 88 84 6 24 63 58 7 16 80 79 84 43 34 4 43 	0.88
20   (11, 19)   0	42 15 98 3 30 1 79 18 80 48 39 92 82 79 83 31 	0.92 	 | 	 20      (4, 4)   0	28 6 56 52 51 6 61 8 89 81 72 64 14 50 1 95 	0.76
21   (11, 19)   0	86 90 20 4 55 76 66 59 53 45 45 100 71 39 24 49 	0.76 	 | 	 21      (4, 4)   0	28 6 56 52 51 6 61 8 89 81 72 64 14 50 1 95 	0.68
22   (8, 1)   10	41 72 48 41 78 2 48 85 22 2 79 84 43 35 99 36 	0.52 	 | 	 22      (15, 26)   10	62 56 91 12 39 21 55 72 22 96 87 56 76 93 52 52 	0.28
23   (8, 1)   10	73 88 84 6 20 63 58 7 16 80 33 29 28 34 41 94 	0.86 	 | 	 23      (15, 26)   10	59 24 91 90 97 7 6 13 0 48 72 24 57 41 94 49 	0.36
24   (20, 28)   0	31 78 37 69 56 43 8 79 50 32 3 62 82 63 4 54 	0.6 	 | 	 24      (13, 26)   6	23 50 27 47 83 84 6 13 0 48 87 56 76 93 52 52 	0.08
25   (20, 28)   0	80 92 6 4 96 49 54 37 91 63 37 45 53 4 17 37 	0.52 	 | 	 25      (13, 26)   6	59 24 91 90 97 7 55 82 6 38 64 9 33 7 62 18 	0.48
26   (29, 4)   4	59 24 91 90 97 7 6 13 0 48 87 56 76 93 52 52 	0.94 	 | 	 26      (2, 12)   14	41 72 48 41 78 2 48 85 22 8 33 29 82 79 1 95 	0.56
27   (29, 4)   4	89 94 79 0 10 64 31 80 94 66 37 1 42 15 28 24 	0.28 	 | 	 27      (2, 12)   14	28 6 56 49 51 6 61 11 89 81 72 64 14 50 83 31 	0.54
28   (3, 19)   10	88 31 20 64 87 66 56 65 52 73 45 100 71 39 24 49 	0.28 	 | 	 28      (28, 5)   2	88 31 73 9 98 13 85 2 27 16 32 8 8 91 64 28 	0.58
29   (3, 19)   10	86 90 20 4 55 76 66 59 53 45 28 91 85 85 76 70 	0.6 	 | 	 29      (28, 5)   2	20 54 20 64 87 66 56 65 52 73 45 100 71 39 24 49 	0.44
Avg Fit: 0.628, Max Fit: 0.94, Min Fit: 0.16	|	 Avg Fit: 0.605333333333333, Max Fit: 0.92, Min Fit: 0.08


						Generation Report
				Generation 2 						 Generation 3
#  parents   xsite       chromosome 				fitness 		 #   parents   xsite     chromosome 				fitness 
0   (25, 17)   4	80 82 6 4 58 43 8 79 50 32 3 62 82 63 42 94 	0.36 	 | 	 0      (14, 10)   12	59 24 91 90 97 7 6 12 89 81 72 64 28 34 41 94 	0.88
1   (25, 17)   4	31 78 37 69 88 49 54 37 91 63 34 45 53 4 17 37 	0.42 	 | 	 1      (14, 10)   12	73 88 84 6 20 63 58 7 21 80 33 29 15 41 1 95 	0.78
2   (21, 15)   6	86 90 20 4 61 76 55 72 12 96 72 24 57 41 94 49 	0.58 	 | 	 2      (19, 3)   14	73 88 84 0 24 63 58 7 16 80 79 84 43 34 24 49 	0.8
3   (21, 15)   6	62 56 91 12 39 21 66 59 53 45 45 100 73 39 24 49 	0.9 	 | 	 3      (19, 3)   14	62 56 91 12 39 21 66 59 53 45 45 100 73 39 4 43 	0.86
4   (26, 21)   0	59 24 91 90 97 7 6 13 0 48 87 56 76 93 52 52 	0.84 	 | 	 4      (4, 3)   0	59 24 91 90 97 7 6 13 0 48 87 56 76 93 52 52 	0.94
5   (26, 21)   0	86 90 20 4 55 76 66 59 53 45 45 100 71 39 24 49 	0.66 	 | 	 5      (4, 3)   0	62 56 91 12 39 21 66 59 53 45 45 100 73 39 24 49 	0.64
6   (26, 18)   6	59 24 91 90 100 7 79 18 80 48 37 65 79 47 12 56 	0.76 	 | 	 6      (18, 18)   10	73 94 84 4 20 65 58 7 16 80 33 29 28 34 41 94 	0.82
7   (26, 18)   6	42 15 98 3 30 1 6 13 0 48 87 56 76 93 52 52 	0.74 	 | 	 7      (18, 18)   10	73 94 84 4 20 57 58 7 16 80 33 29 32 34 41 94 	0.76
8   (17, 7)   0	31 78 37 69 56 43 8 79 50 32 3 62 82 63 41 94 	0.84 	 | 	 8      (28, 16)   4	88 31 73 9 20 63 58 7 16 80 33 29 28 34 41 94 	0.52
9   (17, 7)   0	39 64 60 47 7 87 95 49 95 67 99 71 75 64 82 48 	0.4 	 | 	 9      (28, 16)   4	73 88 84 6 98 13 85 2 27 16 32 8 8 85 54 28 	0.78
10   (23, 4)   0	73 88 84 6 20 63 58 7 16 80 33 29 28 34 41 94 	0.92 	 | 	 10      (21, 28)   14	28 6 56 52 51 6 61 8 89 81 72 64 14 50 64 28 	0.54
11   (23, 4)   0	28 6 56 52 51 6 61 8 89 81 72 64 14 50 1 95 	0.86 	 | 	 11      (21, 28)   14	88 31 73 9 98 13 85 2 27 17 32 8 8 91 1 95 	0.42
12   (14, 1)   0	89 34 60 47 7 87 95 54 95 67 99 71 75 64 82 48 	0.8 	 | 	 12      (8, 29)   2	31 78 20 64 87 66 56 65 52 73 45 100 71 39 24 49 	0.08
13   (14, 1)   0	71 89 79 22 72 27 7 35 14 14 8 35 15 50 99 36 	0.12 	 | 	 13      (8, 29)   2	20 54 37 69 56 43 8 79 50 32 3 62 82 65 32 94 	0.7
14   (26, 4)   8	59 24 91 90 97 7 6 12 89 81 72 64 15 50 1 95 	0.86 	 | 	 14      (12, 21)   4	89 34 60 47 51 6 61 8 89 86 72 64 14 50 1 95 	0.66
15   (26, 4)   8	28 6 56 52 51 6 61 8 0 45 87 56 76 93 52 51 	0.26 	 | 	 15      (12, 21)   4	28 6 56 52 7 87 95 54 95 67 99 71 75 64 82 48 	0.74
16   (23, 4)   0	73 88 84 6 20 63 58 7 16 80 33 29 28 34 41 94 	0.84 	 | 	 16      (12, 19)   0	89 34 60 47 7 87 95 54 95 67 99 71 75 64 82 48 	0.76
17   (23, 4)   0	28 6 56 52 51 6 61 8 89 81 72 64 14 50 1 95 	0.74 	 | 	 17      (12, 19)   0	73 88 84 6 24 63 58 7 16 80 79 84 43 34 4 43 	0.86
18   (0, 23)   4	73 94 84 4 20 63 58 7 16 80 33 29 28 34 41 94 	0.62 	 | 	 18      (11, 22)   10	28 5 56 52 51 6 61 8 89 74 86 50 76 93 52 52 	0.84
19   (0, 23)   4	73 88 84 6 24 63 58 7 16 80 79 84 43 34 4 43 	0.88 	 | 	 19      (11, 22)   10	62 56 91 12 39 21 55 72 22 96 72 64 14 50 1 95 	0.64
20   (4, 4)   0	28 6 56 52 51 6 61 8 89 81 72 64 14 50 1 95 	0.76 	 | 	 20      (4, 11)   10	59 15 91 90 97 7 6 13 0 48 72 64 14 50 1 95 	0.74
21   (4, 4)   0	28 6 56 52 51 6 61 8 89 81 72 64 14 50 1 95 	0.68 	 | 	 21      (4, 11)   10	28 6 56 52 51 6 61 8 81 72 87 56 76 93 52 52 	0.4
22   (15, 26)   10	62 56 91 12 39 21 55 72 22 96 87 56 76 93 52 52 	0.28 	 | 	 22      (20, 9)   12	28 6 56 52 52 6 53 8 89 81 72 64 75 64 82 48 	0.72
23   (15, 26)   10	59 24 91 90 97 7 6 13 0 48 72 24 57 41 94 49 	0.36 	 | 	 23      (20, 9)   12	39 64 60 47 7 87 95 42 95 67 99 71 14 50 1 95 	0.06
24   (13, 26)   6	23 50 27 47 83 84 6 13 0 48 87 56 76 93 52 52 	0.08 	 | 	 24      (27, 17)   14	28 6 56 49 51 6 61 11 89 81 72 64 14 50 1 95 	0.88
25   (13, 26)   6	59 24 91 90 97 7 55 82 6 38 64 9 33 7 62 18 	0.48 	 | 	 25      (27, 17)   14	28 6 56 52 51 6 61 8 89 81 72 64 14 50 83 31 	0.82
26   (2, 12)   14	41 72 48 41 78 2 48 85 22 8 33 29 82 79 1 95 	0.56 	 | 	 26      (3, 6)   0	62 56 91 12 39 21 66 59 53 45 45 100 73 39 24 49 	0.84
27   (2, 12)   14	28 6 56 49 51 6 61 11 89 81 72 64 14 50 83 31 	0.54 	 | 	 27      (3, 6)   0	59 24 91 90 100 7 79 18 80 48 37 65 79 47 12 56 	0.72
28   (28, 5)   2	88 31 73 9 98 13 85 2 27 16 32 8 8 91 64 28 	0.58 	 | 	 28      (21, 4)   0	28 6 56 52 51 6 61 8 89 81 72 64 14 50 1 95 	0.8
29   (28, 5)   2	20 54 20 64 87 66 56 65 52 73 45 100 71 39 24 49 	0.44 	 | 	 29      (21, 4)   0	59 24 91 90 97 7 6 13 0 48 87 56 76 93 52 52 	0.9
Avg Fit: 0.605333333333333, Max Fit: 0.92, Min Fit: 0.08	|	 Avg Fit: 0.696666666666667, Max Fit: 0.94, Min Fit: 0.06


						Generation Report
				Generation 3 						 Generation 4
#  parents   xsite       chromosome 				fitness 		 #   parents   xsite     chromosome 				fitness 
0   (14, 10)   12	59 24 91 90 97 7 6 12 89 81 72 64 28 34 41 94 	0.88 	 | 	 0      (9, 14)   12	73 88 84 6 98 13 85 2 27 11 32 8 14 50 1 95 	0.74
1   (14, 10)   12	73 88 84 6 20 63 58 7 21 80 33 29 15 41 1 95 	0.78 	 | 	 1      (9, 14)   12	89 34 60 47 51 6 61 8 89 86 72 64 8 85 54 28 	0.74
2   (19, 3)   14	73 88 84 0 24 63 58 7 16 80 79 84 43 34 24 49 	0.8 	 | 	 2      (28, 13)   10	28 6 56 52 51 6 61 8 89 81 3 62 82 65 32 94 	0.7
3   (19, 3)   14	62 56 91 12 39 21 66 59 53 45 45 100 73 39 4 43 	0.86 	 | 	 3      (28, 13)   10	20 54 37 69 56 43 8 79 50 32 72 64 14 50 1 95 	0.84
4   (4, 3)   0	59 24 91 90 97 7 6 13 0 48 87 56 76 93 52 52 	0.94 	 | 	 4      (0, 9)   0	59 24 91 90 97 7 6 12 89 81 72 64 28 34 41 94 	0.8
5   (4, 3)   0	62 56 91 12 39 21 66 59 53 45 45 100 73 39 24 49 	0.64 	 | 	 5      (0, 9)   0	73 88 84 6 98 13 85 2 27 16 32 8 8 85 54 28 	0.56
6   (18, 18)   10	73 94 84 4 20 65 58 7 16 80 33 29 28 34 41 94 	0.82 	 | 	 6      (16, 6)   0	89 34 60 47 7 87 95 54 95 67 99 71 75 64 82 48 	0.92
7   (18, 18)   10	73 94 84 4 20 57 58 7 16 80 33 29 32 34 41 94 	0.76 	 | 	 7      (16, 6)   0	73 94 84 4 20 65 58 7 16 80 33 29 28 34 41 94 	0.9
8   (28, 16)   4	88 31 73 9 20 63 58 7 16 80 33 29 28 34 41 94 	0.52 	 | 	 8      (3, 14)   6	62 56 91 12 39 21 61 8 89 86 72 64 14 50 1 95 	0.82
